省份,流入人次,流出人次,内部流动人次,行政地理分区,GDP,GDP增速,人均可支配收入,总人口
西藏自治区,2969,2959,125087,西南,1902.74,7.8,21744.0,364.8
北京市,15428,275,0,华北,36102.6,1.2,69434.0,2189.3
辽宁省,47830,217355,882940,东北,25115.0,0.6,32738.0,4259.1
浙江省,118908,9661,8470,华东,64613.0,3.6,52397.0,6456.8
广西壮族自治区,49720,5591,27745,华南,22156.69,3.7,24562.0,5012.7
海南省,4469,187,0,华南,5532.39,3.5,27904.0,1008.1
重庆市,54268,1148,0,西南,25002.79,3.9,30824.0,3205.4
香港特别行政区,13795,0,0,华南,,,,
河北省,44869,346,84,华北,36206.9,3.9,27136.0,7461.0
福建省,25436,31,225,华东,43903.89,3.3,37202.0,4154.0
湖南省,32399,303627,767601,华中,41781.49,3.8,29380.0,6644.5
宁夏回族自治区,13265,5968,100,西北,3920.55,3.9,25735.0,720.3
台湾省,1,0,0,华东,,,,
陕西省,43105,56896,274984,西北,26181.86,2.2,26226.0,3952.9
山西省,61072,41,131,华北,17651.93,3.6,25214.0,3491.6
内蒙古自治区,32391,211,67,华北,17359.8,0.2,31497.0,2404.9
甘肃省,26691,25647,207789,西北,9016.7,3.9,20335.0,2502.0
贵州省,34954,122731,503037,西南,17826.56,4.5,21795.0,3856.2
湖北省,54776,109552,261871,华中,43443.46,-5.0,27881.0,5775.3
四川省,54182,127432,472164,西南,48598.8,3.8,26522.0,8367.5
天津市,1615,147,0,华北,14083.73,1.5,43854.0,1386.6
黑龙江省,55355,1803,99,东北,13698.5,1.0,24902.0,3185.0
广东省,107469,62460,270460,华南,110760.94,2.3,41029.0,12601.3
山东省,75438,3811,0,华东,73129.0,3.6,32886.0,10152.7
新疆维吾尔自治区,8801,3435,78483,西北,13797.58,3.4,23845.0,2585.2
河南省,43462,96326,244330,华中,54997.07,1.3,24810.0,9936.6
吉林省,61757,7156,13175,东北,12311.32,2.4,31497.0,2407.3
上海市,50544,30046,0,华东,38700.58,1.7,72232.0,2487.1
青海省,11968,6490,28265,西北,3005.92,1.5,24037.0,592.4
江西省,49638,5081,29938,华东,25691.5,3.8,28017.0,4518.9
安徽省,67240,172,13,华东,38680.6,3.9,28103.0,6102.7
江苏省,82680,161018,651884,华东,102719.0,3.7,43390.0,8474.8
云南省,23489,2381,9,西南,24521.9,4.0,23295.0,4720.9
