id,累计确诊,累计确诊新增,目前感染人数,目前感染人数新增,日期,年月,日,省份
1462,1634,0,7,-5,20200622,202006,22,广东省
1463,1634,0,6,-1,20200623,202006,23,广东省
1464,1635,1,6,0,20200624,202006,24,广东省
1465,1635,0,6,0,20200625,202006,25,广东省
1466,1637,2,7,1,20200626,202006,26,广东省
1467,1637,0,7,0,20200627,202006,27,广东省
1468,1637,0,4,-3,20200628,202006,28,广东省
1469,1641,4,6,2,20200629,202006,29,广东省
1470,1641,0,6,0,20200630,202006,30,广东省
1471,1642,1,7,1,20200701,202007,1,广东省
1472,1642,0,5,-2,20200702,202007,2,广东省
1473,1,1,1,1,20200122,202001,22,台湾
1474,1,0,1,0,20200123,202001,23,台湾
1475,3,2,3,2,20200124,202001,24,台湾
1476,3,0,3,0,20200125,202001,25,台湾
1477,4,1,4,1,20200126,202001,26,台湾
1478,5,1,5,1,20200127,202001,27,台湾
1479,8,3,8,3,20200128,202001,28,台湾
1480,8,0,8,0,20200129,202001,29,台湾
1481,9,1,9,1,20200130,202001,30,台湾
1482,10,1,10,1,20200131,202001,31,台湾
1483,10,0,10,0,20200201,202002,1,台湾
1484,10,0,10,0,20200202,202002,2,台湾
1485,10,0,10,0,20200203,202002,3,台湾
1486,11,1,11,1,20200204,202002,4,台湾
1487,11,0,11,0,20200205,202002,5,台湾
1488,16,5,15,4,20200206,202002,6,台湾
1489,16,0,15,0,20200207,202002,7,台湾
1490,17,1,16,1,20200208,202002,8,台湾
1491,18,1,17,1,20200209,202002,9,台湾
1492,18,0,17,0,20200210,202002,10,台湾
1493,18,0,17,0,20200211,202002,11,台湾
1494,18,0,17,0,20200212,202002,12,台湾
1495,18,0,17,0,20200213,202002,13,台湾
1496,18,0,17,0,20200214,202002,14,台湾
1497,18,0,16,-1,20200215,202002,15,台湾
1498,20,2,17,1,20200216,202002,16,台湾
1499,22,2,19,2,20200217,202002,17,台湾
1500,22,0,19,0,20200218,202002,18,台湾
1501,24,2,21,2,20200219,202002,19,台湾
1502,24,0,21,0,20200220,202002,20,台湾
1503,26,2,23,2,20200221,202002,21,台湾
1504,26,0,23,0,20200222,202002,22,台湾
1505,28,2,22,-1,20200223,202002,23,台湾
1506,30,2,24,2,20200224,202002,24,台湾
1507,31,1,25,1,20200225,202002,25,台湾
1508,32,1,26,1,20200226,202002,26,台湾
1509,32,0,25,-1,20200227,202002,27,台湾
1510,34,2,24,-1,20200228,202002,28,台湾
1511,39,5,29,5,20200229,202002,29,台湾
1512,40,1,27,-2,20200301,202003,1,台湾
1513,41,1,28,1,20200302,202003,2,台湾
1514,42,1,29,1,20200303,202003,3,台湾
1515,42,0,29,0,20200304,202003,4,台湾
1516,44,2,31,2,20200305,202003,5,台湾
1517,45,1,32,1,20200306,202003,6,台湾
1518,45,0,31,-1,20200307,202003,7,台湾
1519,45,0,29,-2,20200308,202003,8,台湾
1520,45,0,29,0,20200309,202003,9,台湾
1521,47,2,29,0,20200310,202003,10,台湾
1522,48,1,30,1,20200311,202003,11,台湾
1523,49,1,28,-2,20200312,202003,12,台湾
1524,50,1,29,1,20200313,202003,13,台湾
1525,53,3,32,3,20200314,202003,14,台湾
1526,59,6,38,6,20200315,202003,15,台湾
1527,67,8,44,6,20200316,202003,16,台湾
1528,77,10,54,10,20200317,202003,17,台湾
1529,100,23,77,23,20200318,202003,18,台湾
1530,108,8,81,4,20200319,202003,19,台湾
1531,135,27,105,24,20200320,202003,20,台湾
1532,153,18,123,18,20200321,202003,21,台湾
1533,169,16,139,16,20200322,202003,22,台湾
1534,195,26,164,25,20200323,202003,23,台湾
1535,216,21,185,21,20200324,202003,24,台湾
1536,235,19,204,19,20200325,202003,25,台湾
1537,252,17,221,17,20200326,202003,26,台湾
1538,267,15,235,14,20200327,202003,27,台湾
1539,283,16,251,16,20200328,202003,28,台湾
1540,298,15,256,5,20200329,202003,29,台湾
1541,306,8,262,6,20200330,202003,30,台湾
1542,322,16,278,16,20200331,202003,31,台湾
1543,329,7,285,7,20200401,202004,1,台湾
1544,339,10,284,-1,20200402,202004,2,台湾
1545,348,9,293,9,20200403,202004,3,台湾
1546,355,7,300,7,20200404,202004,4,台湾
1547,363,8,304,4,20200405,202004,5,台湾
1548,373,10,311,7,20200406,202004,6,台湾
1549,376,3,310,-1,20200407,202004,7,台湾
1550,379,3,307,-3,20200408,202004,8,台湾
1551,380,1,295,-12,20200409,202004,9,台湾
1552,382,2,285,-10,20200410,202004,10,台湾
1553,385,3,280,-5,20200411,202004,11,台湾
1554,388,3,273,-7,20200412,202004,12,台湾
1555,393,5,273,0,20200413,202004,13,台湾
1556,393,0,263,-10,20200414,202004,14,台湾
1557,395,2,252,-11,20200415,202004,15,台湾
1558,395,0,234,-18,20200416,202004,16,台湾
1559,395,0,223,-11,20200417,202004,17,台湾
1560,398,3,214,-9,20200418,202004,18,台湾
1561,420,22,225,11,20200419,202004,19,台湾
1562,422,2,213,-12,20200420,202004,20,台湾
1563,425,3,202,-11,20200421,202004,21,台湾
1564,426,1,184,-18,20200422,202004,22,台湾
1565,427,1,168,-16,20200423,202004,23,台湾
1566,428,1,158,-10,20200424,202004,24,台湾
1567,429,1,148,-10,20200425,202004,25,台湾
1568,429,0,142,-6,20200426,202004,26,台湾
1569,429,0,133,-9,20200427,202004,27,台湾
1570,429,0,116,-17,20200428,202004,28,台湾
1571,429,0,112,-4,20200429,202004,29,台湾
1572,429,0,101,-11,20200430,202004,30,台湾
1573,429,0,99,-2,20200501,202005,1,台湾
1574,432,3,102,3,20200502,202005,2,台湾
1575,436,4,98,-4,20200503,202005,3,台湾
1576,438,2,98,0,20200504,202005,4,台湾
1577,438,0,98,0,20200505,202005,5,台湾
1578,439,1,94,-4,20200506,202005,6,台湾
1579,440,1,87,-7,20200507,202005,7,台湾
1580,440,0,79,-8,20200508,202005,8,台湾
1581,440,0,73,-6,20200509,202005,9,台湾
1582,440,0,68,-5,20200510,202005,10,台湾
1583,440,0,65,-3,20200511,202005,11,台湾
1584,440,0,61,-4,20200512,202005,12,台湾
1585,440,0,58,-3,20200513,202005,13,台湾
1586,440,0,50,-8,20200514,202005,14,台湾
1587,440,0,46,-4,20200515,202005,15,台湾
1588,440,0,44,-2,20200516,202005,16,台湾
1589,440,0,38,-6,20200517,202005,17,台湾
1590,440,0,35,-3,20200518,202005,18,台湾
1591,440,0,32,-3,20200519,202005,19,台湾
1592,440,0,31,-1,20200520,202005,20,台湾
1593,441,1,27,-4,20200521,202005,21,台湾
1594,441,0,26,-1,20200522,202005,22,台湾
1595,441,0,23,-3,20200523,202005,23,台湾
1596,441,0,20,-3,20200524,202005,24,台湾
1597,441,0,19,-1,20200525,202005,25,台湾
1598,441,0,18,-1,20200526,202005,26,台湾
1599,441,0,15,-3,20200527,202005,27,台湾
1600,441,0,14,-1,20200528,202005,28,台湾
1601,442,1,15,1,20200529,202005,29,台湾
1602,442,0,14,-1,20200530,202005,30,台湾
1603,442,0,12,-2,20200531,202005,31,台湾
1604,443,1,9,-3,20200601,202006,1,台湾
1605,443,0,9,0,20200602,202006,2,台湾
1606,443,0,8,-1,20200603,202006,3,台湾
1607,443,0,8,0,20200604,202006,4,台湾
1608,443,0,7,-1,20200605,202006,5,台湾
1609,443,0,7,0,20200606,202006,6,台湾
1610,443,0,6,-1,20200607,202006,7,台湾
1611,443,0,6,0,20200608,202006,8,台湾
1612,443,0,5,-1,20200609,202006,9,台湾
1613,443,0,5,0,20200610,202006,10,台湾
1614,443,0,5,0,20200611,202006,11,台湾
1615,443,0,5,0,20200612,202006,12,台湾
1616,443,0,5,0,20200613,202006,13,台湾
1617,443,0,5,0,20200614,202006,14,台湾
1618,445,2,5,0,20200615,202006,15,台湾
1619,445,0,5,0,20200616,202006,16,台湾
1620,445,0,4,-1,20200617,202006,17,台湾
1621,446,1,5,1,20200618,202006,18,台湾
1622,446,0,5,0,20200619,202006,19,台湾
1623,446,0,5,0,20200620,202006,20,台湾
1624,446,0,5,0,20200621,202006,21,台湾
1625,446,0,4,-1,20200622,202006,22,台湾
1626,446,0,4,0,20200623,202006,23,台湾
1627,446,0,4,0,20200624,202006,24,台湾
1628,447,1,5,1,20200625,202006,25,台湾
1629,447,0,5,0,20200626,202006,26,台湾
1630,447,0,5,0,20200627,202006,27,台湾
1631,447,0,5,0,20200628,202006,28,台湾
1632,447,0,5,0,20200629,202006,29,台湾
1633,447,0,3,-2,20200630,202006,30,台湾
1634,447,0,2,-1,20200701,202007,1,台湾
1635,448,1,3,1,20200702,202007,2,台湾
1636,1,1,1,1,20200122,202001,22,福建省
1637,3,2,3,2,20200123,202001,23,福建省
1638,18,15,18,15,20200124,202001,24,福建省
1639,29,11,29,11,20200125,202001,25,福建省
1640,56,27,56,27,20200126,202001,26,福建省
1641,59,3,59,3,20200127,202001,27,福建省
1642,82,23,82,23,20200128,202001,28,福建省
1643,101,19,101,19,20200129,202001,29,福建省
1644,120,19,120,19,20200130,202001,30,福建省
1645,144,24,144,24,20200131,202001,31,福建省
1646,159,15,159,15,20200201,202002,1,福建省
1647,179,20,179,20,20200202,202002,2,福建省
1648,194,15,193,14,20200203,202002,3,福建省
1649,205,11,198,5,20200204,202002,4,福建省
1650,215,10,204,6,20200205,202002,5,福建省
1651,224,9,209,5,20200206,202002,6,福建省
1652,239,15,219,10,20200207,202002,7,福建省
1653,250,11,226,7,20200208,202002,8,福建省
1654,261,11,226,0,20200209,202002,9,福建省
1655,267,6,228,2,20200210,202002,10,福建省
1656,272,5,226,-2,20200211,202002,11,福建省
1657,279,7,225,-1,20200212,202002,12,福建省
1658,281,2,222,-3,20200213,202002,13,福建省
1659,285,4,219,-3,20200214,202002,14,福建省
1660,287,2,210,-9,20200215,202002,15,福建省
1661,290,3,206,-4,20200216,202002,16,福建省
1662,292,2,201,-5,20200217,202002,17,福建省
1663,293,1,197,-4,20200218,202002,18,福建省
1664,293,0,180,-17,20200219,202002,19,福建省
1665,293,0,158,-22,20200220,202002,20,福建省
1666,293,0,142,-16,20200221,202002,21,福建省
1667,293,0,127,-15,20200222,202002,22,福建省
1668,293,0,118,-9,20200223,202002,23,福建省
1669,294,1,105,-13,20200224,202002,24,福建省
1670,294,0,88,-17,20200225,202002,25,福建省
1671,296,2,70,-18,20200226,202002,26,福建省
1672,296,0,63,-7,20200227,202002,27,福建省
1673,296,0,54,-9,20200228,202002,28,福建省
1674,296,0,52,-2,20200229,202002,29,福建省
1675,296,0,48,-4,20200301,202003,1,福建省
1676,296,0,40,-8,20200302,202003,2,福建省
1677,296,0,34,-6,20200303,202003,3,福建省
1678,296,0,25,-9,20200304,202003,4,福建省
1679,296,0,17,-8,20200305,202003,5,福建省
1680,296,0,11,-6,20200306,202003,6,福建省
1681,296,0,0,-11,20200307,202003,7,福建省
1682,296,0,0,0,20200308,202003,8,福建省
1683,296,0,0,0,20200309,202003,9,福建省
1684,296,0,0,0,20200310,202003,10,福建省
1685,296,0,0,0,20200311,202003,11,福建省
1686,296,0,0,0,20200312,202003,12,福建省
1687,296,0,0,0,20200313,202003,13,福建省
1688,296,0,0,0,20200314,202003,14,福建省
1689,296,0,0,0,20200315,202003,15,福建省
1690,296,0,0,0,20200316,202003,16,福建省
1691,296,0,0,0,20200317,202003,17,福建省
1692,296,0,0,0,20200318,202003,18,福建省
1693,299,3,3,3,20200319,202003,19,福建省
1694,303,4,7,4,20200320,202003,20,福建省
1695,307,4,11,4,20200321,202003,21,福建省
1696,313,6,17,6,20200322,202003,22,福建省
1697,318,5,22,5,20200323,202003,23,福建省
1698,322,4,26,4,20200324,202003,24,福建省
1699,328,6,32,6,20200325,202003,25,福建省
1700,331,3,35,3,20200326,202003,26,福建省
1701,337,6,41,6,20200327,202003,27,福建省
1702,338,1,42,1,20200328,202003,28,福建省
1703,340,2,44,2,20200329,202003,29,福建省
1704,343,3,47,3,20200330,202003,30,福建省
1705,345,2,47,0,20200331,202003,31,福建省
1706,345,0,45,-2,20200401,202004,1,福建省
1707,349,4,48,3,20200402,202004,2,福建省
1708,350,1,48,0,20200403,202004,3,福建省
1709,350,0,46,-2,20200404,202004,4,福建省
1710,350,0,44,-2,20200405,202004,5,福建省
1711,351,1,45,1,20200406,202004,6,福建省
1712,351,0,43,-2,20200407,202004,7,福建省
1713,351,0,42,-1,20200408,202004,8,福建省
1714,351,0,39,-3,20200409,202004,9,福建省
1715,351,0,33,-6,20200410,202004,10,福建省
1716,352,1,30,-3,20200411,202004,11,福建省
1717,352,0,26,-4,20200412,202004,12,福建省
1718,353,1,23,-3,20200413,202004,13,福建省
1719,353,0,21,-2,20200414,202004,14,福建省
1720,353,0,19,-2,20200415,202004,15,福建省
1721,354,1,19,0,20200416,202004,16,福建省
1722,355,1,18,-1,20200417,202004,17,福建省
1723,355,0,15,-3,20200418,202004,18,福建省
1724,355,0,15,0,20200419,202004,19,福建省
1725,355,0,13,-2,20200420,202004,20,福建省
1726,355,0,12,-1,20200421,202004,21,福建省
1727,355,0,12,0,20200422,202004,22,福建省
1728,355,0,8,-4,20200423,202004,23,福建省
1729,355,0,5,-3,20200424,202004,24,福建省
1730,355,0,5,0,20200425,202004,25,福建省
1731,355,0,5,0,20200426,202004,26,福建省
1732,355,0,5,0,20200427,202004,27,福建省
1733,355,0,2,-3,20200428,202004,28,福建省
1734,355,0,1,-1,20200429,202004,29,福建省
1735,356,1,2,1,20200430,202004,30,福建省
1736,356,0,2,0,20200501,202005,1,福建省
1737,356,0,2,0,20200502,202005,2,福建省
1738,356,0,2,0,20200503,202005,3,福建省
1739,356,0,2,0,20200504,202005,4,福建省
1740,356,0,2,0,20200505,202005,5,福建省
1741,356,0,1,-1,20200506,202005,6,福建省
1742,356,0,1,0,20200507,202005,7,福建省
1743,356,0,1,0,20200508,202005,8,福建省
1744,356,0,1,0,20200509,202005,9,福建省
1745,356,0,1,0,20200510,202005,10,福建省
1746,356,0,1,0,20200511,202005,11,福建省
1747,356,0,1,0,20200512,202005,12,福建省
1748,356,0,1,0,20200513,202005,13,福建省
1749,356,0,0,-1,20200514,202005,14,福建省
1750,356,0,0,0,20200515,202005,15,福建省
1751,356,0,0,0,20200516,202005,16,福建省
1752,356,0,0,0,20200517,202005,17,福建省
1753,356,0,0,0,20200518,202005,18,福建省
1754,356,0,0,0,20200519,202005,19,福建省
1755,356,0,0,0,20200520,202005,20,福建省
1756,356,0,0,0,20200521,202005,21,福建省
1757,356,0,0,0,20200522,202005,22,福建省
1758,356,0,0,0,20200523,202005,23,福建省
1759,356,0,0,0,20200524,202005,24,福建省
1760,357,1,1,1,20200525,202005,25,福建省
1761,357,0,1,0,20200526,202005,26,福建省
1762,358,1,2,1,20200527,202005,27,福建省
1763,358,0,2,0,20200528,202005,28,福建省
1764,358,0,2,0,20200529,202005,29,福建省
1765,358,0,2,0,20200530,202005,30,福建省
1766,358,0,2,0,20200531,202005,31,福建省
1767,358,0,1,-1,20200601,202006,1,福建省
1768,358,0,1,0,20200602,202006,2,福建省
1769,358,0,1,0,20200603,202006,3,福建省
1770,358,0,1,0,20200604,202006,4,福建省
1771,358,0,1,0,20200605,202006,5,福建省
1772,359,1,2,1,20200606,202006,6,福建省
1773,359,0,2,0,20200607,202006,7,福建省
1774,359,0,2,0,20200608,202006,8,福建省
1775,359,0,2,0,20200609,202006,9,福建省
1776,360,1,3,1,20200610,202006,10,福建省
1777,361,1,4,1,20200611,202006,11,福建省
1778,361,0,4,0,20200612,202006,12,福建省
1779,361,0,4,0,20200613,202006,13,福建省
1780,362,1,5,1,20200614,202006,14,福建省
1781,362,0,5,0,20200615,202006,15,福建省
1782,362,0,5,0,20200616,202006,16,福建省
1783,362,0,5,0,20200617,202006,17,福建省
1784,362,0,4,-1,20200618,202006,18,福建省
1785,362,0,4,0,20200619,202006,19,福建省
1786,363,1,5,1,20200620,202006,20,福建省
1787,363,0,5,0,20200621,202006,21,福建省
1788,363,0,5,0,20200622,202006,22,福建省
1789,363,0,5,0,20200623,202006,23,福建省
1790,363,0,5,0,20200624,202006,24,福建省
1791,363,0,5,0,20200625,202006,25,福建省
1792,363,0,5,0,20200626,202006,26,福建省
1793,363,0,5,0,20200627,202006,27,福建省
1794,363,0,5,0,20200628,202006,28,福建省
1795,363,0,5,0,20200629,202006,29,福建省
1796,363,0,3,-2,20200630,202006,30,福建省
1797,363,0,3,0,20200701,202007,1,福建省
1798,363,0,3,0,20200702,202007,2,福建省
1799,5,5,5,5,20200121,202001,21,重庆市
1800,9,4,9,4,20200122,202001,22,重庆市
1801,27,18,27,18,20200123,202001,23,重庆市
1802,57,30,57,30,20200124,202001,24,重庆市
1803,75,18,75,18,20200125,202001,25,重庆市
1804,110,35,110,35,20200126,202001,26,重庆市
1805,132,22,132,22,20200127,202001,27,重庆市
1806,147,15,147,15,20200128,202001,28,重庆市
1807,165,18,164,17,20200129,202001,29,重庆市
1808,206,41,205,41,20200130,202001,30,重庆市
1809,238,32,236,31,20200131,202001,31,重庆市
1810,262,24,258,22,20200201,202002,1,重庆市
1811,300,38,291,33,20200202,202002,2,重庆市
1812,337,37,326,35,20200203,202002,3,重庆市
1813,366,29,350,24,20200204,202002,4,重庆市
1814,389,23,372,22,20200205,202002,5,重庆市
1815,411,22,385,13,20200206,202002,6,重庆市
1816,426,15,393,8,20200207,202002,7,重庆市
1817,446,20,405,12,20200208,202002,8,重庆市
1818,468,22,415,10,20200209,202002,9,重庆市
1819,486,18,418,3,20200210,202002,10,重庆市
1820,505,19,423,5,20200211,202002,11,重庆市
1821,518,13,413,-10,20200212,202002,12,重庆市
1822,529,11,397,-16,20200213,202002,13,重庆市
1823,537,8,380,-17,20200214,202002,14,重庆市
1824,544,7,355,-25,20200215,202002,15,重庆市
1825,551,7,339,-16,20200216,202002,16,重庆市
1826,553,2,323,-16,20200217,202002,17,重庆市
1827,555,2,296,-27,20200218,202002,18,重庆市
1828,560,5,281,-15,20200219,202002,19,重庆市
1829,567,7,262,-19,20200220,202002,20,重庆市
1830,572,5,250,-12,20200221,202002,21,重庆市
1831,573,1,239,-11,20200222,202002,22,重庆市
1832,575,2,234,-5,20200223,202002,23,重庆市
1833,576,1,221,-13,20200224,202002,24,重庆市
1834,576,0,198,-23,20200225,202002,25,重庆市
1835,576,0,186,-12,20200226,202002,26,重庆市
1836,576,0,169,-17,20200227,202002,27,重庆市
1837,576,0,148,-21,20200228,202002,28,重庆市
1838,576,0,132,-16,20200229,202002,29,重庆市
1839,576,0,120,-12,20200301,202003,1,重庆市
1840,576,0,101,-19,20200302,202003,2,重庆市
1841,576,0,80,-21,20200303,202003,3,重庆市
1842,576,0,68,-12,20200304,202003,4,重庆市
1843,576,0,58,-10,20200305,202003,5,重庆市
1844,576,0,50,-8,20200306,202003,6,重庆市
1845,576,0,44,-6,20200307,202003,7,重庆市
1846,576,0,43,-1,20200308,202003,8,重庆市
1847,576,0,28,-15,20200309,202003,9,重庆市
1848,576,0,23,-5,20200310,202003,10,重庆市
1849,576,0,16,-7,20200311,202003,11,重庆市
1850,576,0,6,-10,20200312,202003,12,重庆市
1851,576,0,4,-2,20200313,202003,13,重庆市
1852,576,0,1,-3,20200314,202003,14,重庆市
1853,576,0,0,-1,20200315,202003,15,重庆市
1854,576,0,0,0,20200316,202003,16,重庆市
1855,576,0,0,0,20200317,202003,17,重庆市
1856,576,0,0,0,20200318,202003,18,重庆市
1857,576,0,0,0,20200319,202003,19,重庆市
1858,576,0,0,0,20200320,202003,20,重庆市
1859,576,0,0,0,20200321,202003,21,重庆市
1860,577,1,1,1,20200322,202003,22,重庆市
1861,578,1,2,1,20200323,202003,23,重庆市
1862,578,0,2,0,20200324,202003,24,重庆市
1863,578,0,2,0,20200325,202003,25,重庆市
1864,578,0,2,0,20200326,202003,26,重庆市
1865,578,0,2,0,20200327,202003,27,重庆市
1866,579,1,3,1,20200328,202003,28,重庆市
1867,579,0,3,0,20200329,202003,29,重庆市
1868,579,0,3,0,20200330,202003,30,重庆市
1869,579,0,3,0,20200331,202003,31,重庆市
1870,579,0,3,0,20200401,202004,1,重庆市
1871,579,0,3,0,20200402,202004,2,重庆市
1872,579,0,3,0,20200403,202004,3,重庆市
1873,579,0,3,0,20200404,202004,4,重庆市
1874,579,0,3,0,20200405,202004,5,重庆市
1875,579,0,3,0,20200406,202004,6,重庆市
1876,579,0,3,0,20200407,202004,7,重庆市
1877,579,0,3,0,20200408,202004,8,重庆市
1878,579,0,3,0,20200409,202004,9,重庆市
1879,579,0,3,0,20200410,202004,10,重庆市
1880,579,0,3,0,20200411,202004,11,重庆市
1881,579,0,3,0,20200412,202004,12,重庆市
1882,579,0,3,0,20200413,202004,13,重庆市
1883,579,0,3,0,20200414,202004,14,重庆市
1884,579,0,3,0,20200415,202004,15,重庆市
1885,579,0,3,0,20200416,202004,16,重庆市
1886,579,0,3,0,20200417,202004,17,重庆市
1887,579,0,3,0,20200418,202004,18,重庆市
1888,579,0,3,0,20200419,202004,19,重庆市
1889,579,0,3,0,20200420,202004,20,重庆市
1890,579,0,3,0,20200421,202004,21,重庆市
1891,579,0,3,0,20200422,202004,22,重庆市
1892,579,0,0,-3,20200423,202004,23,重庆市
1893,579,0,0,0,20200424,202004,24,重庆市
1894,579,0,0,0,20200425,202004,25,重庆市
1895,579,0,0,0,20200426,202004,26,重庆市
1896,579,0,0,0,20200427,202004,27,重庆市
1897,579,0,0,0,20200428,202004,28,重庆市
1898,579,0,0,0,20200429,202004,29,重庆市
1899,579,0,0,0,20200430,202004,30,重庆市
1900,579,0,0,0,20200501,202005,1,重庆市
1901,579,0,0,0,20200502,202005,2,重庆市
1902,579,0,0,0,20200503,202005,3,重庆市
1903,579,0,0,0,20200504,202005,4,重庆市
1904,579,0,0,0,20200505,202005,5,重庆市
1905,579,0,0,0,20200506,202005,6,重庆市
1906,579,0,0,0,20200507,202005,7,重庆市
1907,579,0,0,0,20200508,202005,8,重庆市
1908,579,0,0,0,20200509,202005,9,重庆市
1909,579,0,0,0,20200510,202005,10,重庆市
1910,579,0,0,0,20200511,202005,11,重庆市
1911,579,0,0,0,20200512,202005,12,重庆市
1912,579,0,0,0,20200513,202005,13,重庆市
1913,579,0,0,0,20200514,202005,14,重庆市
1914,579,0,0,0,20200515,202005,15,重庆市
1915,579,0,0,0,20200516,202005,16,重庆市
1916,579,0,0,0,20200517,202005,17,重庆市
1917,579,0,0,0,20200518,202005,18,重庆市
1918,579,0,0,0,20200519,202005,19,重庆市
1919,579,0,0,0,20200520,202005,20,重庆市
1920,579,0,0,0,20200521,202005,21,重庆市
1921,579,0,0,0,20200522,202005,22,重庆市
1922,579,0,0,0,20200523,202005,23,重庆市
1923,579,0,0,0,20200524,202005,24,重庆市
1924,579,0,0,0,20200525,202005,25,重庆市
1925,579,0,0,0,20200526,202005,26,重庆市
1926,579,0,0,0,20200527,202005,27,重庆市
1927,579,0,0,0,20200528,202005,28,重庆市
1928,579,0,0,0,20200529,202005,29,重庆市
1929,579,0,0,0,20200530,202005,30,重庆市
1930,579,0,0,0,20200531,202005,31,重庆市
1931,579,0,0,0,20200601,202006,1,重庆市
1932,579,0,0,0,20200602,202006,2,重庆市
1933,579,0,0,0,20200603,202006,3,重庆市
1934,579,0,0,0,20200604,202006,4,重庆市
1935,579,0,0,0,20200605,202006,5,重庆市
1936,579,0,0,0,20200606,202006,6,重庆市
1937,579,0,0,0,20200607,202006,7,重庆市
1938,579,0,0,0,20200608,202006,8,重庆市
1939,579,0,0,0,20200609,202006,9,重庆市
1940,579,0,0,0,20200610,202006,10,重庆市
1941,579,0,0,0,20200611,202006,11,重庆市
1942,579,0,0,0,20200612,202006,12,重庆市
1943,580,1,1,1,20200613,202006,13,重庆市
1944,582,2,3,2,20200614,202006,14,重庆市
1945,582,0,3,0,20200615,202006,15,重庆市
1946,582,0,3,0,20200616,202006,16,重庆市
1947,582,0,3,0,20200617,202006,17,重庆市
1948,582,0,3,0,20200618,202006,18,重庆市
1949,582,0,3,0,20200619,202006,19,重庆市
1950,582,0,3,0,20200620,202006,20,重庆市
1951,582,0,3,0,20200621,202006,21,重庆市
1952,582,0,3,0,20200622,202006,22,重庆市
1953,582,0,3,0,20200623,202006,23,重庆市
1954,582,0,3,0,20200624,202006,24,重庆市
1955,582,0,3,0,20200625,202006,25,重庆市
1956,582,0,3,0,20200626,202006,26,重庆市
1957,582,0,3,0,20200627,202006,27,重庆市
1958,582,0,3,0,20200628,202006,28,重庆市
1959,582,0,3,0,20200629,202006,29,重庆市
1960,582,0,3,0,20200630,202006,30,重庆市
1961,582,0,3,0,20200701,202007,1,重庆市
1962,582,0,2,-1,20200702,202007,2,重庆市
1963,5,5,5,5,20200121,202001,21,浙江省
1964,10,5,10,5,20200122,202001,22,浙江省
1965,43,33,42,32,20200123,202001,23,浙江省
1966,62,19,61,19,20200124,202001,24,浙江省
1967,104,42,103,42,20200125,202001,25,浙江省
1968,128,24,127,24,20200126,202001,26,浙江省
1969,173,45,172,45,20200127,202001,27,浙江省
1970,296,123,293,121,20200128,202001,28,浙江省
1971,428,132,424,131,20200129,202001,29,浙江省
1972,537,109,528,104,20200130,202001,30,浙江省
1973,599,62,584,56,20200131,202001,31,浙江省
1974,661,62,638,54,20200201,202002,1,浙江省
1975,724,63,688,50,20200202,202002,2,浙江省
1976,829,105,781,93,20200203,202002,3,浙江省
1977,895,66,832,51,20200204,202002,4,浙江省
1978,954,59,873,41,20200205,202002,5,浙江省
1979,1006,52,908,35,20200206,202002,6,浙江省
1980,1048,42,921,13,20200207,202002,7,浙江省
1981,1075,27,902,-19,20200208,202002,8,浙江省
1982,1092,17,891,-11,20200209,202002,9,浙江省
1983,1117,25,867,-24,20200210,202002,10,浙江省
1984,1131,14,852,-15,20200211,202002,11,浙江省
1985,1145,14,818,-34,20200212,202002,12,浙江省
1986,1155,10,788,-30,20200213,202002,13,浙江省
1987,1162,7,753,-35,20200214,202002,14,浙江省
1988,1167,5,730,-23,20200215,202002,15,浙江省
1989,1171,4,701,-29,20200216,202002,16,浙江省
1990,1172,1,658,-43,20200217,202002,17,浙江省
1991,1173,1,629,-29,20200218,202002,18,浙江省
1992,1175,2,566,-63,20200219,202002,19,浙江省
1993,1203,28,555,-11,20200220,202002,20,浙江省
1994,1205,2,510,-45,20200221,202002,21,浙江省
1995,1205,0,475,-35,20200222,202002,22,浙江省
1996,1205,0,439,-36,20200223,202002,23,浙江省
1997,1205,0,410,-29,20200224,202002,24,浙江省
1998,1205,0,390,-20,20200225,202002,25,浙江省
1999,1205,0,323,-67,20200226,202002,26,浙江省
2000,1205,0,261,-62,20200227,202002,27,浙江省
2001,1205,0,217,-44,20200228,202002,28,浙江省
2002,1205,0,177,-40,20200229,202002,29,浙江省
2003,1206,1,155,-22,20200301,202003,1,浙江省
2004,1213,7,138,-17,20200302,202003,2,浙江省
2005,1213,0,117,-21,20200303,202003,3,浙江省
2006,1215,2,96,-21,20200304,202003,4,浙江省
2007,1215,0,73,-23,20200305,202003,5,浙江省
2008,1215,0,65,-8,20200306,202003,6,浙江省
2009,1215,0,57,-8,20200307,202003,7,浙江省
2010,1215,0,44,-13,20200308,202003,8,浙江省
2011,1215,0,36,-8,20200309,202003,9,浙江省
2012,1215,0,21,-15,20200310,202003,10,浙江省
2013,1215,0,17,-4,20200311,202003,11,浙江省
2014,1215,0,17,0,20200312,202003,12,浙江省
2015,1227,12,15,-2,20200313,202003,13,浙江省
2016,1231,4,19,4,20200314,202003,14,浙江省
2017,1231,0,17,-2,20200315,202003,15,浙江省
2018,1232,1,15,-2,20200316,202003,16,浙江省
2019,1232,0,15,0,20200317,202003,17,浙江省
2020,1233,1,15,0,20200318,202003,18,浙江省
2021,1234,1,14,-1,20200319,202003,19,浙江省
2022,1236,2,16,2,20200320,202003,20,浙江省
